Examinee ID,Group,Inclusion Code,Item.001,Item.002,Item.003,Item.004,Item.005,Item.006,Item.007,Item.008,Item.009,Item.010,Item.011,Item.012,Item.013,Item.014,Item.015,Item.016,Item.017,Item.018,Item.019,Item.020,Item.021,Item.022,Item.023,Item.024,Item.025,Item.026,Item.027,Item.028,Item.029,Item.030,Item.031,Item.032,Item.033,Item.034,Item.035,Item.036,Item.037,Item.038,Item.039,Item.040,Item.041,Item.042,Item.043,Item.044,Item.045,Item.046,Item.047,Item.048,Item.049,Item.050
Examinee.00014,P,Y,A,A,B,A,A,C,B,B,C,D,C,B,A,B,D,C,D,A,B,C,A,A,B,D,A,B,C,B,B,B,D,C,A,B,D,D,C,B,B,D,C,C,A,B,A,D,B,B,B,A
Examinee.00015,P,Y,A,A,A,C,C,B,C,D,C,D,A,B,A,B,D,E,D,A,B,C,A,C,A,A,A,D,C,C,B,A,B,B,A,B,D,D,D,B,B,D,C,C,B,A,A,D,B,B,B,A
Examinee.00016,P,Y,A,A,D,C,C,B,A,D,C,D,A,B,C,B,A,D,D,A,B,C,A,D,B,A,A,A,C,C,B,A,A,A,A,A,D,D,D,D,B,D,C,C,C,A,A,D,B,B,C,A
Examinee.00017,P,Y,A,A,A,B,C,A,C,D,C,D,A,B,D,B,B,B,B,C,D,A,B,C,A,A,A,D,D,C,C,A,B,C,C,C,D,C,B,C,B,C,D,D,C,B,B,D,B,A,B,B
Examinee.00018,P,Y,A,A,C,C,A,B,C,D,C,D,A,B,C,B,D,D,D,A,B,C,C,D,B,D,A,D,C,C,B,A,A,C,B,B,B,D,D,C,B,D,C,C,B,D,A,D,C,B,D,D
Examinee.00019,P,Y,A,A,D,B,C,B,C,D,C,D,A,B,C,B,A,D,D,A,B,C,A,A,A,A,A,D,C,C,B,A,D,A,A,B,D,D,D,D,B,D,A,C,B,A,A,B,B,B,B,C
Examinee.00020,P,Y,A,B,A,B,A,B,A,D,C,D,B,B,C,B,A,D,D,A,D,C,A,C,A,A,A,D,C,B,B,A,A,C,C,C,D,D,D,C,B,D,C,C,B,A,A,D,B,B,B,A
Examinee.00021,P,Y,A,A,B,B,C,B,B,D,C,D,A,B,A,B,D,D,D,A,B,C,A,C,C,A,D,B,C,B,B,A,A,B,A,B,D,D,C,A,B,D,C,C,B,D,A,D,A,B,D,C
Examinee.00022,P,Y,A,A,A,C,C,B,A,D,B,D,A,B,A,B,B,D,D,A,B,C,A,B,A,A,A,B,C,C,B,A,A,C,A,A,D,D,D,D,B,D,C,C,A,A,A,D,A,B,D,A
Examinee.00023,P,Y,A,A,D,B,C,B,A,D,C,D,A,B,C,B,D,D,D,A,B,C,A,C,A,A,A,D,C,C,B,A,A,B,A,B,D,D,D,C,B,D,C,C,B,B,A,D,C,B,B,A
Examinee.00024,P,Y,A,A,B,B,C,B,A,D,C,D,D,B,B,D,D,D,D,A,B,C,A,D,A,A,A,A,C,C,B,A,A,C,A,A,C,D,D,C,B,D,C,C,A,B,A,D,A,B,B,A
Examinee.00025,P,Y,A,A,B,B,A,A,C,D,C,D,B,B,C,B,A,A,D,A,D,D,B,C,A,B,C,D,D,D,B,A,D,A,A,A,D,C,D,A,B,A,C,C,D,D,A,D,C,B,B,A
Examinee.00026,P,Y,A,A,A,B,C,B,A,D,C,C,B,B,C,B,A,D,D,A,B,C,C,C,A,A,A,D,C,C,B,C,A,C,B,B,D,D,C,B,B,D,C,C,A,A,A,D,A,B,B,C
Examinee.00027,P,Y,A,A,A,B,C,B,C,D,C,D,B,B,C,B,D,D,D,A,B,C,A,C,A,A,B,D,C,D,B,A,A,C,A,B,D,D,D,C,B,A,A,C,B,D,A,D,C,B,B,A
Examinee.00028,P,Y,A,A,B,B,C,B,A,D,C,D,A,B,C,B,C,C,D,A,D,C,A,B,A,A,A,D,C,C,B,C,A,A,A,A,D,D,C,D,B,D,C,C,B,A,A,B,C,B,A,A
Examinee.00029,P,Y,A,A,A,B,C,B,C,D,C,D,A,B,C,B,D,C,D,A,B,C,A,A,A,A,A,A,C,C,B,A,A,A,A,B,D,D,D,D,B,D,C,C,D,A,A,D,C,B,B,A
Examinee.00030,P,Y,A,A,D,C,C,B,C,D,C,D,A,B,C,B,A,D,D,A,B,C,A,A,A,A,D,D,C,C,B,C,A,C,A,B,D,D,C,D,B,D,C,C,D,D,A,D,C,B,B,A
Examinee.00031,P,Y,A,A,A,B,C,B,A,D,C,D,A,B,A,B,D,D,D,A,B,C,C,C,A,A,A,A,C,D,B,A,C,C,A,A,B,D,D,B,B,D,C,C,B,D,A,D,A,B,B,A
Examinee.00032,P,Y,A,A,A,B,C,B,A,D,C,D,A,B,A,B,A,D,D,A,B,C,B,D,A,D,A,D,C,C,B,A,A,A,A,B,C,D,D,B,B,A,C,C,B,A,A,D,B,B,A,D
Examinee.00033,P,Y,A,A,D,B,C,B,A,D,C,D,C,B,A,B,A,C,D,A,B,C,A,C,A,A,A,D,C,C,B,B,A,A,A,B,D,D,D,D,B,A,C,C,B,D,A,A,B,B,D,A
Examinee.00034,P,Y,A,A,A,B,B,B,C,D,C,D,A,B,C,B,D,D,D,A,B,C,A,B,A,A,D,D,C,B,B,B,A,C,C,B,D,D,D,C,B,D,C,C,D,A,A,D,B,B,B,A
Examinee.00035,P,Y,A,A,D,B,C,B,A,D,C,D,A,B,A,B,A,D,D,A,B,C,A,D,A,A,A,D,C,A,A,A,A,A,A,B,D,D,D,C,B,A,C,C,B,A,A,D,B,B,B,D
Examinee.00036,P,Y,A,A,D,B,C,B,B,D,C,D,A,B,C,B,C,A,D,A,B,C,A,C,A,A,A,D,C,B,B,A,A,A,A,A,D,D,D,D,B,D,C,C,C,A,A,D,C,B,B,A
Examinee.00037,P,Y,A,A,B,B,C,B,C,D,C,A,C,B,C,B,A,D,D,A,B,C,A,C,A,A,A,D,C,C,B,A,D,A,A,B,D,D,C,C,B,D,A,C,B,D,C,D,A,B,B,C
Examinee.00038,P,Y,A,A,A,B,A,B,A,D,C,D,B,B,C,B,A,D,D,A,B,C,A,B,A,A,A,D,C,C,B,A,A,A,A,B,D,D,C,D,B,D,C,C,A,A,A,D,B,B,B,D
Examinee.00039,P,Y,A,A,A,C,A,B,B,D,C,D,B,B,A,D,A,A,D,A,A,D,A,B,B,D,A,D,C,C,B,A,D,A,A,A,D,D,C,B,B,D,C,C,B,C,A,A,A,B,A,A
Examinee.00040,P,Y,A,A,A,B,C,B,A,D,C,C,A,B,A,B,A,D,D,A,B,C,A,C,A,A,B,D,C,C,B,A,D,A,A,B,D,D,C,B,B,D,C,C,B,B,A,A,C,B,B,A
Examinee.00041,P,Y,A,B,A,C,C,B,A,D,C,D,A,B,C,A,D,D,D,A,B,C,A,A,A,D,A,D,C,D,B,A,A,A,A,C,D,D,D,C,B,D,C,C,B,A,A,D,B,B,B,A
Examinee.00042,P,Y,A,A,A,B,A,A,D,D,C,D,A,B,A,B,A,D,D,A,B,C,A,D,B,A,A,B,C,C,B,A,A,A,A,B,D,D,C,A,B,A,C,C,B,D,A,D,A,B,B,C
Examinee.00043,P,Y,A,A,A,C,A,C,C,D,C,D,D,B,C,B,A,D,D,A,B,C,A,D,A,A,A,D,C,C,B,B,D,A,A,B,D,D,D,A,B,D,C,C,B,A,A,D,D,B,D,B
Examinee.00044,P,Y,A,A,A,B,C,B,C,D,C,D,A,B,B,B,A,D,D,A,B,C,A,D,A,D,A,A,C,B,B,B,D,B,A,B,D,D,D,D,B,A,C,C,B,A,A,D,A,B,B,D
Examinee.00045,P,Y,A,A,A,B,C,B,C,D,C,D,A,B,A,B,A,D,D,A,A,C,A,D,A,A,A,D,C,C,B,C,D,B,A,C,D,D,C,A,B,D,C,C,B,D,A,D,B,B,B,A
Examinee.00046,P,Y,A,A,A,B,C,B,A,D,C,A,A,B,C,B,D,D,D,A,A,C,A,B,B,D,A,D,C,B,B,A,B,B,A,B,D,D,D,C,B,D,C,C,B,C,A,D,B,B,B,D
Examinee.00047,P,Y,A,A,A,B,C,B,C,D,C,D,C,B,A,B,A,D,D,A,A,C,A,C,A,A,A,D,C,C,B,C,A,B,A,B,D,D,D,A,B,D,C,C,B,D,A,D,B,B,B,A
Examinee.00048,P,Y,A,A,A,B,C,B,C,D,C,D,A,B,A,B,A,D,D,A,B,C,A,A,A,A,A,D,C,B,B,A,A,B,A,A,D,D,C,B,B,D,C,C,B,A,A,D,D,B,B,A
Examinee.00049,P,Y,A,A,A,B,C,B,C,D,C,B,B,B,A,B,A,D,D,A,B,C,A,C,A,D,A,D,C,A,B,A,A,B,B,C,C,D,D,A,B,D,C,C,B,A,C,D,A,B,A,D
Examinee.00050,P,Y,A,A,A,B,A,B,A,D,D,D,A,B,C,B,D,C,D,A,B,C,A,A,A,A,A,D,B,C,B,B,C,A,A,B,D,D,D,C,B,D,C,C,C,A,A,A,D,B,B,A
Examinee.00051,P,Y,A,A,A,B,A,B,C,D,C,D,B,B,A,B,D,D,D,A,B,C,A,A,A,A,A,D,C,C,B,A,A,B,A,B,C,D,D,C,B,D,C,C,B,D,A,D,D,B,B,B
Examinee.00052,P,Y,A,A,A,B,C,B,C,D,C,D,B,B,C,B,A,D,D,A,B,C,A,C,A,B,A,D,C,B,B,A,A,C,B,A,C,D,D,B,B,D,C,C,B,A,A,D,B,B,B,A
Examinee.00053,P,Y,A,A,A,B,B,A,C,D,C,D,A,B,C,B,A,D,D,A,B,C,A,D,A,A,A,A,B,B,B,A,A,A,A,B,C,D,D,D,B,A,C,C,B,D,A,A,A,B,B,A
Examinee.00054,P,Y,A,A,A,C,A,B,C,D,C,D,A,B,C,B,D,C,D,A,B,C,A,A,A,B,A,B,C,B,B,C,D,C,A,B,D,D,D,B,B,D,C,C,B,D,A,D,A,B,B,D
Examinee.00055,P,Y,A,A,D,B,A,B,A,D,C,D,A,B,A,B,D,D,D,A,B,C,A,C,D,D,A,B,C,B,B,B,A,A,A,B,D,D,D,D,B,D,A,C,B,D,A,D,B,B,B,A
Examinee.00056,P,Y,A,A,A,B,A,A,C,D,C,D,B,B,A,C,D,D,D,A,B,C,A,C,A,A,A,D,C,C,B,A,A,A,A,B,D,D,D,C,B,D,C,C,B,A,A,D,C,B,D,A
Examinee.00057,P,Y,A,A,B,C,A,B,A,D,C,D,A,B,A,B,D,D,D,A,D,C,A,C,A,D,B,B,D,B,B,A,D,A,A,B,C,D,A,D,B,D,C,C,B,B,A,D,B,B,A,A
Examinee.00058,P,Y,A,A,A,B,A,B,A,D,C,A,A,B,A,B,D,D,D,A,B,C,A,C,B,D,A,D,C,A,B,A,A,A,A,B,D,A,C,B,B,D,A,C,B,D,A,D,C,B,B,A
Examinee.00059,P,Y,A,A,B,C,A,C,B,D,C,D,A,B,A,B,A,D,D,A,B,C,A,C,A,D,A,B,D,B,B,D,A,B,A,B,C,D,D,D,B,D,B,C,B,D,A,D,C,B,A,A
Examinee.00060,P,Y,A,A,B,B,A,B,A,D,C,D,A,B,A,B,D,D,D,A,B,C,A,C,A,A,A,D,C,C,B,A,A,C,A,B,D,D,D,D,C,D,C,C,B,A,A,B,D,B,B,A
Examinee.00061,P,Y,A,A,A,B,A,B,C,D,C,D,C,B,A,B,A,D,D,A,A,C,A,A,A,A,A,D,C,D,B,D,A,C,B,A,D,D,D,A,B,D,A,C,B,D,A,B,A,B,B,C
Examinee.00062,P,Y,A,B,D,B,B,C,C,D,C,D,A,B,C,B,A,D,D,A,A,C,A,C,B,A,A,D,C,C,B,B,A,C,C,B,D,D,D,B,B,D,C,C,B,A,A,D,D,B,B,A
Examinee.00063,P,Y,A,A,D,C,C,B,C,D,C,D,A,B,C,B,D,A,D,A,B,C,A,C,A,D,A,A,C,B,B,C,A,C,A,B,D,D,C,A,B,D,C,C,B,D,A,A,A,B,B,A
Examinee.00064,P,Y,A,B,C,B,A,A,C,D,C,D,A,B,A,B,D,D,D,A,A,C,C,B,B,D,D,D,C,C,B,C,C,A,A,B,D,B,D,D,B,C,A,C,B,D,A,D,B,B,C,A
Examinee.00065,P,Y,A,A,B,C,A,A,C,D,C,B,C,B,C,C,D,D,D,A,A,C,A,C,A,D,A,D,C,C,B,A,D,D,A,A,D,D,C,D,B,D,A,C,B,B,A,D,A,B,B,B
Examinee.00066,P,Y,A,B,B,B,A,B,C,D,C,D,A,B,A,B,A,D,D,A,B,C,A,B,A,D,A,B,B,C,B,A,D,A,A,B,D,D,D,C,B,D,A,C,B,C,A,D,A,B,C,A
Examinee.00067,P,Y,A,A,B,B,C,C,C,D,C,D,A,B,C,A,A,B,D,A,B,C,A,B,A,D,A,B,C,C,B,A,A,B,B,B,D,D,C,B,B,D,B,C,B,A,A,D,A,B,D,B
Examinee.00068,P,Y,A,B,B,B,C,B,A,D,C,D,A,B,C,B,A,D,D,A,B,C,A,C,A,A,A,B,C,B,B,A,A,A,A,B,D,D,D,C,B,D,C,C,B,A,A,D,C,B,B,A
Examinee.00069,P,Y,A,A,A,B,C,B,C,D,C,D,B,B,B,B,A,D,D,A,B,C,A,C,A,A,A,D,C,C,B,C,A,A,A,A,D,D,C,D,B,D,C,C,B,A,A,D,A,B,B,A
Examinee.00070,P,Y,A,A,B,B,C,B,C,D,C,D,B,B,B,B,D,D,D,A,B,C,A,D,A,D,C,D,C,B,B,B,A,B,A,B,D,D,D,D,B,A,C,C,B,A,A,D,D,B,B,A
Examinee.00071,P,Y,A,A,A,B,C,A,C,D,C,D,B,B,C,D,C,D,D,A,B,C,A,D,A,C,C,D,C,C,B,C,D,C,A,A,D,D,C,D,B,D,C,C,B,A,A,B,A,B,C,A
Examinee.00072,P,Y,A,A,A,B,C,B,A,D,C,D,C,B,C,B,A,D,D,A,B,C,A,C,A,A,A,A,C,C,B,C,B,A,A,A,D,D,C,C,B,D,C,C,C,A,A,D,B,B,B,A
Examinee.00073,P,Y,A,A,A,B,A,B,C,D,C,D,A,B,A,B,D,A,D,A,B,C,C,C,B,A,A,D,C,C,B,A,D,C,B,B,C,D,D,B,A,D,C,C,B,D,A,D,D,B,B,A
Examinee.00074,P,Y,A,B,A,C,A,B,B,D,C,D,B,B,B,B,D,D,D,A,A,C,A,A,A,A,A,D,C,C,B,A,A,B,A,C,C,D,D,C,B,D,C,C,C,D,A,D,B,B,D,D
Examinee.00075,P,Y,A,A,B,C,A,B,C,D,C,D,B,B,C,B,A,D,D,A,B,C,A,A,A,D,A,D,B,D,B,A,A,D,A,B,D,D,C,D,B,D,C,C,B,D,A,D,A,B,B,A
Examinee.00076,P,Y,A,B,A,B,C,B,A,D,C,D,A,B,C,B,A,C,D,A,B,C,A,C,A,D,A,D,C,C,B,B,C,C,B,A,D,D,D,D,B,C,C,C,A,B,A,D,D,B,B,D
Examinee.00077,P,Y,A,A,A,B,C,B,A,D,C,B,A,B,C,B,D,D,D,A,A,C,A,C,A,D,A,A,C,D,B,A,A,C,A,A,D,D,D,D,B,D,C,C,A,A,A,D,A,B,B,A
Examinee.00078,P,Y,A,A,A,B,B,B,C,D,C,D,C,B,C,D,D,D,D,A,B,C,A,D,A,A,A,A,C,B,B,B,A,C,A,B,D,D,D,C,B,D,C,C,B,D,A,B,B,B,B,A
Examinee.00079,P,Y,A,A,A,B,C,B,A,D,C,D,A,B,A,B,B,C,D,A,B,C,A,B,A,D,A,D,C,C,B,D,A,A,A,B,D,D,D,D,B,D,D,C,C,D,A,D,C,B,B,C
Examinee.00080,P,Y,A,B,B,B,C,B,A,D,C,B,C,B,C,A,C,C,D,A,B,C,C,C,A,D,A,A,D,C,B,A,A,D,A,B,B,A,B,B,B,A,B,C,D,C,A,A,A,B,D,C
Examinee.00081,P,Y,A,A,A,B,C,B,A,D,C,B,A,B,A,D,A,C,D,A,B,C,B,B,A,A,A,D,C,A,B,B,A,A,A,B,D,D,D,A,B,A,C,C,A,A,A,D,A,A,B,C
Examinee.00082,P,Y,A,A,A,B,A,B,C,D,C,B,A,B,C,B,C,D,D,A,B,C,C,B,A,D,A,D,C,A,B,A,A,A,B,C,B,D,D,D,B,A,A,C,C,A,B,B,A,B,D,A
Examinee.00083,P,Y,A,A,A,B,C,B,A,D,C,D,A,B,A,B,B,C,D,A,B,C,A,B,A,D,A,D,C,A,B,B,A,A,A,B,D,D,D,D,B,D,C,C,C,A,A,D,C,B,B,A
Examinee.00084,P,Y,A,A,A,B,A,B,A,D,C,B,A,B,B,B,B,D,D,A,B,A,C,C,A,A,A,A,D,B,B,B,A,A,A,B,B,D,D,C,C,A,C,C,C,A,A,D,B,A,C,A
Examinee.00085,P,Y,A,A,A,B,C,B,A,D,C,D,A,B,B,B,B,D,D,A,B,C,A,B,A,D,A,D,B,A,B,B,A,A,A,B,D,D,D,D,B,D,C,C,C,A,A,D,C,B,B,A
Examinee.00086,P,Y,A,A,A,B,C,B,A,D,C,D,A,B,B,B,B,C,D,A,B,C,A,B,A,A,A,D,C,C,B,B,A,A,A,B,D,D,D,D,B,D,C,C,C,A,A,D,C,B,B,A
Examinee.00087,P,Y,A,A,A,B,C,B,A,D,C,D,A,B,A,B,B,C,D,A,B,C,A,C,A,D,A,D,C,C,B,B,D,A,A,B,D,D,D,B,B,D,C,C,D,D,A,B,B,B,B,A
Examinee.00088,P,Y,A,A,A,B,C,B,A,D,C,D,A,B,B,B,B,D,D,A,B,C,A,B,A,A,A,D,C,A,B,B,A,A,A,B,D,D,D,D,B,D,C,C,C,A,A,D,C,B,B,A
Examinee.00089,P,Y,A,A,A,B,D,C,A,D,C,B,A,B,C,B,D,D,D,A,B,C,B,D,A,A,D,A,C,D,B,A,A,B,A,B,D,D,C,D,A,D,B,C,A,C,A,D,A,B,B,D
Examinee.00090,P,Y,A,A,B,B,A,A,B,D,C,B,C,B,A,B,A,C,D,A,B,C,A,C,B,D,A,D,C,C,B,B,A,C,A,B,C,D,C,D,B,C,C,C,A,D,A,D,C,B,B,D
Examinee.00091,P,Y,A,A,B,B,A,A,B,D,C,C,B,B,B,B,A,C,D,A,B,C,A,C,B,D,A,D,C,C,B,B,A,C,A,B,D,D,C,D,B,D,C,C,B,D,A,D,B,B,B,D
Examinee.00092,P,Y,A,A,B,B,A,C,C,D,C,D,B,B,C,B,A,D,D,B,B,C,B,D,B,D,A,A,C,B,B,B,A,A,A,B,C,D,D,B,B,D,A,C,D,C,A,D,A,B,B,D
Examinee.00093,P,Y,A,A,A,B,A,C,A,D,C,B,A,B,C,B,A,D,D,A,A,C,A,A,A,B,A,D,C,C,B,A,A,C,A,B,D,D,C,B,B,A,C,C,C,A,A,D,A,B,B,A
Examinee.00094,P,Y,A,A,A,B,A,C,C,D,C,B,C,B,C,B,A,C,D,A,C,C,A,A,B,A,B,C,C,D,D,C,B,D,B,D,A,D,D,B,B,C,A,C,A,B,A,D,A,B,E,B
Examinee.00095,P,Y,A,A,B,A,A,B,A,D,C,D,B,B,B,D,D,C,D,A,B,C,A,C,A,D,A,D,C,C,B,A,A,B,A,B,D,B,D,D,B,D,C,C,B,D,A,D,A,B,B,D
Examinee.00096,P,Y,A,A,B,A,A,B,A,D,C,B,A,B,A,B,A,D,D,A,B,C,A,D,A,D,A,B,C,D,B,C,A,A,C,B,D,A,C,A,B,D,C,C,A,A,C,D,A,B,D,A
Examinee.00097,P,Y,A,D,B,C,B,C,A,D,A,B,A,B,C,B,A,D,D,B,A,D,B,C,C,B,B,D,C,D,A,C,A,C,A,B,D,D,C,C,A,B,C,C,C,A,A,A,A,B,B,A
Examinee.00098,P,Y,A,A,B,B,A,B,C,D,C,D,A,B,A,B,D,D,A,B,B,C,C,D,B,D,A,D,B,C,B,B,B,B,A,B,D,A,D,A,A,C,D,C,A,B,A,D,C,B,B,D
Examinee.00099,P,Y,A,B,A,B,A,B,C,D,C,A,B,B,C,B,A,D,D,A,B,B,C,C,C,D,C,D,C,C,B,B,A,A,A,B,C,D,D,B,B,D,C,C,B,D,A,D,C,B,B,A
Examinee.00100,P,Y,A,A,B,B,A,B,C,D,C,D,B,B,C,B,D,D,D,A,B,C,A,C,A,A,A,D,C,C,B,B,A,A,A,A,D,D,C,A,B,D,C,C,A,D,A,D,C,B,B,D
Examinee.00101,P,Y,A,B,A,B,A,B,C,D,C,D,B,B,C,B,A,D,D,A,B,C,A,D,D,D,C,D,C,C,B,B,A,C,A,B,D,D,D,A,B,D,A,C,B,C,A,D,C,B,A,A
Examinee.00102,P,Y,A,A,B,B,A,B,C,D,C,D,B,B,C,B,D,D,D,A,B,C,A,C,D,D,C,D,C,C,B,B,A,A,A,A,D,D,C,A,B,D,C,C,A,D,A,D,C,B,A,A
Examinee.00103,P,Y,A,A,B,B,A,B,C,D,C,D,B,B,C,B,D,D,D,A,B,D,B,D,A,D,A,B,C,B,B,B,A,C,A,B,D,D,B,A,B,A,C,C,A,D,A,D,C,B,C,C
Examinee.00104,P,Y,A,A,B,B,A,B,C,D,C,D,B,B,C,B,D,D,D,A,C,C,A,D,D,D,A,B,C,C,B,A,A,A,A,B,D,D,D,C,C,D,C,C,A,D,A,D,C,B,C,D
Examinee.00105,P,Y,A,B,A,B,A,B,C,D,C,D,B,B,A,B,C,D,D,A,A,C,A,C,B,D,A,D,C,C,B,B,D,C,A,B,C,D,D,A,B,D,C,C,B,B,A,D,C,B,B,C
Examinee.00106,P,Y,A,A,B,B,A,B,C,D,C,D,B,B,C,B,D,D,D,A,D,C,A,C,D,D,A,B,C,C,B,A,A,C,A,B,C,D,D,C,B,D,C,C,B,D,A,D,C,B,A,C
Examinee.00107,P,Y,A,A,A,B,B,B,C,D,C,D,B,B,B,B,D,D,D,A,D,C,C,C,A,A,A,B,D,A,B,B,A,A,C,D,D,B,D,D,B,C,C,C,D,A,A,A,C,B,C,D
Examinee.00108,P,Y,A,B,A,B,B,C,B,D,C,D,B,B,A,B,B,D,D,B,B,A,A,A,A,C,C,B,C,A,B,A,A,A,B,B,D,D,D,A,C,A,D,C,A,D,A,D,A,B,D,D
Examinee.00109,P,Y,A,A,A,B,B,C,B,D,C,D,B,B,C,C,A,D,D,A,B,C,A,C,A,D,A,A,C,C,B,A,A,C,A,A,D,D,C,A,B,D,D,C,D,A,A,D,C,B,B,C
Examinee.00110,P,Y,A,A,A,B,B,B,B,D,C,D,B,B,B,B,B,D,D,B,D,C,B,C,A,D,A,D,C,B,B,B,A,C,A,B,D,A,D,B,B,D,D,C,A,D,A,A,C,B,A,D
Examinee.00111,P,Y,A,D,B,B,A,B,C,D,C,B,B,B,C,D,D,D,D,A,B,C,A,A,A,C,A,B,C,B,B,B,D,C,D,B,D,A,D,C,B,D,C,C,B,D,A,D,B,B,A,C
Examinee.00112,P,Y,A,A,A,B,B,C,B,D,B,B,A,B,A,B,A,C,D,B,D,A,C,C,A,D,A,D,C,B,B,B,A,C,A,B,D,C,D,B,B,A,C,C,D,B,A,D,A,A,B,C
Examinee.00113,P,Y,A,A,A,B,C,C,A,D,C,B,A,B,B,C,A,D,D,A,B,C,A,A,A,D,B,B,C,A,B,D,A,A,A,A,B,D,D,D,B,D,C,C,B,D,A,D,B,B,B,D
Examinee.00114,P,Y,A,A,B,B,A,C,C,D,C,D,A,B,C,B,D,D,D,A,B,C,A,C,B,D,A,D,D,D,B,B,D,B,A,B,D,D,C,B,B,D,D,C,C,D,A,C,B,B,C,D
Examinee.00115,P,Y,A,A,A,B,C,B,C,D,C,D,A,B,A,B,D,D,D,B,A,D,A,C,B,A,D,B,D,C,B,A,C,A,C,B,B,D,C,D,B,D,B,C,A,D,A,D,D,B,C,D
Examinee.00116,P,Y,A,A,A,C,B,B,A,D,C,D,A,B,C,B,A,D,D,A,B,C,A,A,B,D,A,B,C,C,B,B,A,B,C,B,B,D,D,B,B,D,C,C,B,D,A,D,B,B,B,A
Examinee.00117,P,Y,A,A,A,C,B,B,B,D,C,B,B,B,A,B,A,C,D,B,A,C,A,A,B,D,A,A,D,A,B,A,C,C,B,D,B,D,C,B,A,D,C,C,A,A,A,D,A,A,C,C
Examinee.00118,P,Y,A,D,B,A,B,B,C,D,C,D,D,B,A,C,D,D,D,A,B,C,D,C,D,A,A,D,D,B,B,D,C,C,A,B,B,C,D,A,B,A,B,C,C,D,A,B,C,B,C,D
Examinee.00119,P,Y,A,A,B,C,A,B,A,D,C,D,A,B,C,D,A,C,D,A,B,C,A,C,B,A,A,B,C,C,B,A,A,A,A,B,B,D,C,C,B,D,B,C,A,E,A,D,B,B,C,B
