Sequence,ID,All Items,Scored Items,Pretest items,Scored Proportion Correct,Rank,Percentile,Group,1,2,3,Scaled Total Score,Classification,CSEM III,CSEM IV
45,Ex045,27,24,3,0.706,51,15.00%,1,6,10,8,30.800,Pass,2.697,2.606
46,Ex046,38,33,5,0.971,3,95.00%,5,7,16,10,41.600,Fail,1.000,0.966
47,Ex047,37,32,5,0.941,9,85.00%,5,7,15,10,40.400,Fail,1.393,1.346
48,Ex048,25,23,2,0.676,54,10.00%,1,6,11,6,29.600,Pass,2.769,2.675
49,Ex049,30,29,1,0.853,37,38.33%,2,8,14,7,36.800,Pass,2.096,2.025
50,Ex050,36,32,4,0.941,9,85.00%,5,8,15,9,40.400,Fail,1.393,1.346
51,Ex051,28,25,3,0.735,50,16.67%,1,5,13,7,32.000,Pass,2.611,2.523
52,Ex052,34,29,5,0.853,37,38.33%,2,8,13,8,36.800,Pass,2.096,2.025
53,Ex053,31,27,4,0.794,45,25.00%,2,6,12,9,34.400,Pass,2.393,2.312
54,Ex054,35,30,5,0.882,27,55.00%,3,7,13,10,38.000,Fail,1.907,1.843
55,Ex055,25,22,3,0.647,57,5.00%,1,5,9,8,28.400,Pass,2.828,2.733
56,Ex056,37,32,5,0.941,9,85.00%,5,7,15,10,40.400,Fail,1.393,1.346
57,Ex057,33,28,5,0.824,41,31.67%,2,5,14,9,35.600,Pass,2.256,2.180
58,Ex058,25,23,2,0.676,54,10.00%,1,6,11,6,29.600,Pass,2.769,2.675
59,Ex059,28,27,1,0.794,45,25.00%,2,8,13,6,34.400,Pass,2.393,2.312
60,Ex060,34,30,4,0.882,27,55.00%,3,8,14,8,38.000,Fail,1.907,1.843
